page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  22   252 smask     395   394  gray    1   8  image  no       418  0   426   425 35.5K  23%
  22   253 image     308   256  icc     3   8  image  no       419  0   528   523 10.2K 4.4%
  22   254 smask     308   256  gray    1   8  image  no       419  0   528   523 1633B 2.1%
  22   255 image     308   256  icc     3   8  image  no       420  0   528   523 9227B 3.9%
  22   256 smask     308   256  gray    1   8  image  no       420  0   528   523 1633B 2.1%
  23   257 image    1488  2105  icc     3   8  jpeg   no       428  0   123   124  238K 2.6%
  23   258 image    1704  2348  icc     3   8  image  no       429  0   216   215 22.6K 0.2%
  23   259 smask    1704  2348  gray    1   8  image  no       429  0   216   215 23.6K 0.6%
  23   260 image     652   651  icc     3   8  image  no       430  0   703   702 15.9K 1.3%
  23   261 smask     652   651  gray    1   8  image  no       430  0   703   702 49.6K  12%
  23   262 image     395   394  icc     3   8  image  no       431  0   426   425 22.2K 4.9%
  23   263 smask     395   394  gray    1   8  image  no       431  0   426   425 35.5K  23%
  23   264 image     308   256  icc     3   8  image  no       432  0   528   523 10.2K 4.4%
  23   265 smask     308   256  gray    1   8  image  no       432  0   528   523 1633B 2.1%
  23   266 image     308   256  icc     3   8  image  no       433  0   528   523 9227B 3.9%
  23   267 smask     308   256  gray    1   8  image  no       433  0   528   523 1633B 2.1%
  24   268 image    1488  2105  icc     3   8  jpeg   no       441  0   123   124  238K 2.6%
  24   269 image    1704  2348  icc     3   8  image  no       442  0   216   215 22.6K 0.2%
  24   270 smask    1704  2348  gray    1   8  image  no       442  0   216   215 23.6K 0.6%
  24   271 image     652   651  icc     3   8  image  no       443  0   703   702 15.9K 1.3%
  24   272 smask     652   651  gray    1   8  image  no       443  0   703   702 49.6K  12%
  24   273 image     395   394  icc     3   8  image  no       444  0   426   425 22.2K 4.9%
  24   274 smask     395   394  gray    1   8  image  no       444  0   426   425 35.5K  23%
  24   275 image     308   256  icc     3   8  image  no       445  0   528   523 10.2K 4.4%
  24   276 smask     308   256  gray    1   8  image  no       445  0   528   523 1633B 2.1%
  24   277 image     308   256  icc     3   8  image  no       446  0   528   523 9227B 3.9%
  24   278 smask     308   256  gray    1   8  image  no       446  0   528   523 1633B 2.1%
  25   279 image    1488  2105  icc     3   8  jpeg   no       454  0   123   124  238K 2.6%
  25   280 image    1704  2348  icc     3   8  image  no       455  0   216   215 22.6K 0.2%
  25   281 smask    1704  2348  gray    1   8  image  no       455  0   216   215 23.6K 0.6%
  25   282 image     652   651  icc     3   8  image  no       456  0   703   702 15.9K 1.3%
  25   283 smask     652   651  gray    1   8  image  no       456  0   703   702 49.6K  12%
  25   284 image     395   394  icc     3   8  image  no       457  0   426   425 22.2K 4.9%
  25   285 smask     395   394  gray    1   8  image  no       457  0   426   425 35.5K  23%
  25   286 image     308   256  icc     3   8  image  no       458  0   528   523 10.2K 4.4%
  25   287 smask     308   256  gray    1   8  image  no       458  0   528   523 1633B 2.1%
  25   288 image     308   256  icc     3   8  image  no       459  0   528   523 9227B 3.9%
  25   289 smask     308   256  gray    1   8  image  no       459  0   528   523 1633B 2.1%
  26   290 image    1488  2105  icc     3   8  jpeg   no       467  0   123   124  238K 2.6%
  26   291 image    1704  2348  icc     3   8  image  no       468  0   216   215 22.6K 0.2%
  26   292 smask    1704  2348  gray    1   8  image  no       468  0   216   215 23.6K 0.6%
  26   293 image     652   651  icc     3   8  image  no       469  0   703   702 15.9K 1.3%
  26   294 smask     652   651  gray    1   8  image  no       469  0   703   702 49.6K  12%
  26   295 image     395   394  icc     3   8  image  no       470  0   426   425 22.2K 4.9%
  26   296 smask     395   394  gray    1   8  image  no       470  0   426   425 35.5K  23%
  26   297 image     308   256  icc     3   8  image  no       471  0   528   523 10.2K 4.4%
  26   298 smask     308   256  gray    1   8  image  no       471  0   528   523 1633B 2.1%
  26   299 image     308   256  icc     3   8  image  no       472  0   528   523 9227B 3.9%
  26   300 smask     308   256  gray    1   8  image  no       472  0   528   523 1633B 2.1%
  27   301 image    1488  2105  icc     3   8  jpeg   no       480  0   123   124  238K 2.6%
  27   302 image    1704  2348  icc     3   8  image  no       481  0   216   215 22.6K 0.2%
  27   303 smask    1704  2348  gray    1   8  image  no       481  0   216   215 23.6K 0.6%
  27   304 image     652   651  icc     3   8  image  no       482  0   703   702 15.9K 1.3%
  27   305 smask     652   651  gray    1   8  image  no       482  0   703   702 49.6K  12%
  27   306 image     395   394  icc     3   8  image  no       483  0   426   425 22.2K 4.9%
  27   307 smask     395   394  gray    1   8  image  no       483  0   426   425 35.5K  23%
